Nest_ID,Year_located,Julian_start,Julian_end,UTM_datum_zone,maxTmax_C,meanTmax_C,maxPpt_mm,meanPpt_mm
EMFWOR_NCAMC7-06A_2018,2018,190,191,NAD83 10N,27.899999618530273,27.700499534606934,0,0
EMFWOR_NCAMC7-06A_2020,2020,177,177,NAD83 10N,27.84600067138672,27.84600067138672,0,0
EMFWOR_NCAMC7-06A_2020,2020,177,182,NAD83 10N,30.03499984741211,23.685333410898846,0.31200000643730164,0.052000001072883606
EMFWOR_NCAMC7-06A_2020,2020,182,184,NAD83 10N,20.69099998474121,19.712666829427082,0,0
EMFWOR_NCAMC7-06A_2020,2020,184,188,NAD83 10N,24.466999053955078,23.028199768066408,0,0
EMFWOR_NCAMC8-06A_2016,2016,180,180,NAD83 10N,26.732999801635742,26.732999801635742,0,0
EMFWOR_NCAMC8-06A_2016,2016,180,183,NAD83 10N,27.48699951171875,26.60124969482422,0,0
EMFWOR_NCAMC8-06A_2016,2016,183,187,NAD83 10N,27.42799949645996,25.609599685668947,0,0
EMFWOR_NCAMC8-06A_2016,2016,187,190,NAD83 10N,23.459999084472656,22.26449966430664,0,0
EMFWOR_NCAMC8-06A_2016,2016,190,193,NAD83 10N,23.459999084472656,17.503999710083008,6.659999847412109,1.8039999604225159
EMFWOR_NCAMC8-06A_2016,2016,193,195,NAD83 10N,19.893999099731445,16.600666046142578,0.5559999942779541,0.1853333314259847
EMFWOR_NCAMC8-06A_2016,2016,195,197,NAD83 10N,27.173999786376953,23.78999964396159,0,0
EMFWOR_NCAMC8-06A_2016,2016,197,200,NAD83 10N,27.173999786376953,24.416749954223633,0,0
EMFWOR_NCAMC8-07A_2017,2017,151,151,NAD83 10N,22.93600082397461,22.93600082397461,0,0
EMFWOR_NCAMC8-07A_2017,2017,151,154,NAD83 10N,22.93600082397461,18.73900008201599,6.413000106811523,1.6032500267028809
EMFWOR_NCAMC8-07A_2017,2017,154,157,NAD83 10N,21.584999084472656,20.409499645233154,0,0
EMFWOR_NCAMC8-07A_2017,2017,157,159,NAD83 10N,23.40999984741211,21.774333318074543,0,0
